id,title,company,location,city,skills,salary,type,experience,posted,description
j1,Data Analyst,Careem,Karachi · Hybrid,Karachi,"Python, SQL, Tableau, Excel, Power BI",₨ 180–240k,Full-time,1-3 years,2 days ago,Analyze trip and user behavior data to drive growth decisions at Pakistan's leading super-app. Build dashboards and present insights to senior leadership.
j2,Senior Data Analyst,Careem,Karachi · Hybrid,Karachi,"Python, SQL, dbt, Tableau, Statistics",₨ 280–380k,Full-time,4-6 years,1 week ago,Lead data analysis for rider and driver growth. Build predictive models and own the analytics roadmap for the Pakistan market.
j3,Frontend Engineer,Careem,Karachi · Remote,Karachi,"React, TypeScript, Next.js, Tailwind CSS, Git",₨ 200–300k,Full-time,2-4 years,3 days ago,Build and maintain high-performance React apps used by millions of Pakistani users. Collaborate with designers and backend engineers.
j4,Backend Engineer,Careem,Karachi · Hybrid,Karachi,"Node.js, PostgreSQL, AWS, Docker, Kubernetes",₨ 220–320k,Full-time,2-4 years,5 days ago,Scale backend services powering Careem's ride-hailing and food delivery verticals across Pakistan.
j5,DevOps Engineer,Careem,Karachi · On-site,Karachi,"AWS, Kubernetes, Terraform, CI/CD, Linux, Docker",₨ 250–350k,Full-time,3-5 years,1 week ago,Own deployment pipelines and infrastructure reliability for Careem PK. Drive zero-downtime deployments.
j6,Product Designer,Careem,Karachi · Hybrid,Karachi,"Figma, User Research, Prototyping, Adobe XD",₨ 180–260k,Full-time,2-4 years,4 days ago,Design intuitive experiences for the Careem super-app. Conduct user research and collaborate with PM and engineering.
j7,ML Engineer,Careem,Karachi · Hybrid,Karachi,"Python, TensorFlow, PyTorch, SQL, AWS",₨ 280–400k,Full-time,3-5 years,2 weeks ago,Build machine learning models for ETA prediction and driver matching at scale.
j8,iOS Developer,Careem,Karachi · Hybrid,Karachi,"Swift, Xcode, REST APIs, Git, Agile",₨ 200–300k,Full-time,2-4 years,1 week ago,Develop and maintain the Careem iOS app serving millions of Pakistani users.
j9,Android Developer,Careem,Karachi · Hybrid,Karachi,"Kotlin, Android SDK, REST APIs, Git, Firebase",₨ 200–300k,Full-time,2-4 years,1 week ago,Own features on the Careem Android app — Pakistan's most-downloaded ride app.
j10,Product Management Intern,Careem,Karachi · Hybrid,Karachi,"Communication, Problem Solving, Excel, User Research, Agile",₨ 60–90k,Internship,0-1 years,5 days ago,Rotate across Careem's product teams and get hands-on experience shipping features used by millions.
